Language,Metric,mean,median,std,min,max
C,linguistic_complexity,0.36500080341728675,0.32769079915018795,0.12413641438141935,0.1713074031704527,0.712
C,code_coverage,1.0,1.0,0.0,1.0,1.0
C,blooms_distribution,0.5519324867858078,0.5644754678724235,0.13070180696168024,0.355245321275764,0.7420981285103055
C,precision_score,0.34736842105263155,0.4,0.1358099441898409,0.0,0.4
C,recall_score,1.0,1.0,0.0,1.0,1.0
C,novelty_score,0.16666666666666666,0.08000000000000002,0.19762602864410378,0.0,0.7
C,educational_alignment,0.4780701754385965,0.3,0.40544060419178857,0.0,1.0
C,cognitive_diversity,0.5346682640013092,0.5386852807234541,0.12340463127824951,0.34648052609879176,0.71192554377285
C,quality_score,0.5808523540989508,0.5767343414108327,0.04961883055249748,0.4673261374559381,0.7066301662641752
CPP,linguistic_complexity,0.3806254549649704,0.3584532330990903,0.12271848301808207,0.1713074031704527,0.712
CPP,code_coverage,1.0,1.0,0.0,1.0,1.0
CPP,blooms_distribution,0.5000354535455515,0.5644754678724235,0.1866279306792321,0.25146299858006066,0.7420981285103055
CPP,precision_score,0.3649122807017544,0.4,0.11365407548521252,0.0,0.4
CPP,recall_score,1.0,1.0,0.0,1.0,1.0
CPP,novelty_score,0.13754385964912283,0.0,0.17374868130146437,0.0,0.54
CPP,educational_alignment,0.41315789473684206,0.3,0.3870727808571463,0.0,1.0
CPP,cognitive_diversity,0.4965125001975063,0.5386852807234541,0.1662914747439487,0.28421113248136975,0.71192554377285
CPP,quality_score,0.5667317788303133,0.5695161504517077,0.05154354762419226,0.44185538637512406,0.673975653259135
Java,linguistic_complexity,0.36999388178499426,0.3391658767772512,0.12741314150479693,0.17880583577233353,0.7152077136787058
Java,code_coverage,1.0,1.0,0.0,1.0,1.0
Java,blooms_distribution,0.5710561549642629,0.5644754678724235,0.1590597387655238,0.25146299858006066,0.8710490642551527
Java,precision_score,0.35789473684210527,0.4,0.12329885762097757,0.0,0.4
Java,recall_score,1.0,1.0,0.0,1.0,1.0
Java,novelty_score,0.1512280701754386,0.08000000000000002,0.1837665908511582,0.0,0.7
Java,educational_alignment,0.43245614035087715,0.3,0.4049463231194723,0.0,1.0
Java,cognitive_diversity,0.5566687806978561,0.5386852807234541,0.1499140971831098,0.28421113248136975,0.855962771886425
Java,quality_score,0.5810435761262289,0.580530688307672,0.051698068835242215,0.4673261374559381,0.7139989193284011
Python,linguistic_complexity,0.4083431812318722,0.41745297670405523,0.12803945614202067,0.1907315867911208,0.8313776243888409
Python,code_coverage,1.0,1.0,0.0,1.0,1.0
Python,blooms_distribution,0.4893622286146553,0.4841962570206112,0.15972289292125705,0.25146299858006066,0.7420981285103055
Python,precision_score,0.38596491228070173,0.4,0.0739255700579936,0.0,0.4
Python,recall_score,1.0,1.0,0.0,1.0,1.0
Python,novelty_score,0.1485964912280702,0.04000000000000001,0.18411172633808578,0.0,0.7
Python,educational_alignment,0.3921052631578947,0.3,0.38653091482266577,0.0,1.0
Python,cognitive_diversity,0.48309102137931964,0.4905177542123667,0.13951430069100942,0.28421113248136975,0.71192554377285
Python,quality_score,0.5707752748266468,0.5688895162901401,0.04732396553482597,0.44573373934514854,0.6843523486691501
